NAME,ABBREVIATION,DESCRIPTION,PARENT,DEPTH,DEPARTMENT
DES/RALS/ARMMS - Records Management,NA,Develops legal records retention schedules for County agencies.,"DES/RALS - Archives, Records Management, & Mail Services (ARMMS)",4,Department of Executive Services (DES)
DES/RALS/L - For-Hire Driver Licensing,NA,"Taxicab, for-hire driver, and process server licenses.",DES/RALS - Licensing (L),4,Department of Executive Services (DES)
DES/RALS/L - Licensing Office at Regional Justice Center,NA,Apply for a marriage license; purchase a pet license; register to vote; pay property taxes; obtain property tax exemption forms; check property assessments and get appeal forms; access King County job listings and applications; other general County inform,DES/RALS - Licensing (L),4,Department of Executive Services (DES)
DES/RALS/L - Vehicle & Vessel Licensing,NA,Issues vehicle and vessel licenses.,DES/RALS - Licensing (L),4,Department of Executive Services (DES)
DES/RALS/R - Community Service Centers (CSC),DES RALS CSC,"Obtain King County government services:  marriage license, pet license, pay property taxes, voter registration, answers to questions about County services.  Sites offer passport application services.",DES/RALS - Recorder's Office (R),4,Department of Executive Services (DES)
DES/RALS/R - Recording,NA,"Provides access to, search capabilities, and copies of recorded documents. Records real estate and miscellaneous documents.  Collects real estate excise tax.",DES/RALS - Recorder's Office (R),4,Department of Executive Services (DES)
DES/RALS/RAS - Call Center,NA,"Regional Animal Services of King County Call Center responds to requests for animal control services, accepts animal control complaints, and maintains an automated pet information line for quick answers to many animal-related issues and services",DES/RALS - Regional Animal Services (RAS),4,Department of Executive Services (DES)
DES/RALS/RAS - Field Services,NA,Provides field services for unincorporated King County and 34 contracting cities.,DES/RALS - Regional Animal Services (RAS),4,Department of Executive Services (DES)
DES/RALS/RAS - Pet Licensing,NA,King County law and the laws of contracting cities require a license for all dogs and cats in unincorporated King County and the 34 contracting cities.  Pet Licensing manages the issuance of new and renewed pet licenses.  The benefits of licensing your pets.,DES/RALS - Regional Animal Services (RAS),4,Department of Executive Services (DES)
DES/RALS/RAS - Shelter Operations,NA,Provides animal shelter for unincorporated King County and 34 contracting cities.,DES/RALS - Regional Animal Services (RAS),4,Department of Executive Services (DES)
DNRP/PARKS - Regional Scheduling,NA,"Are you looking for a site for your next wedding? How about a ballfield for your community game, a pool for a birthday party or a picnic shelter for your family reunion or a large open field for a corporate event? King County Parks has what you’re looking for.",DNRP/PARKS - Business Development,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Back Country Trails,NA,"Located in more than 25 parks, working forests, and natural areas throughout urban and rural King County, King County Parks Back Country system offers trails with year-round accessbility for hiking, mountain biking, and horseback riding.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Bear Creek District,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Cedar River District,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Cougar Mountain District,NA,"Lake Washington on the west, I-90 on the north, Cedar River Watershed on the East-Southeast boundary is Rattlesnake Lake in the Cedar Watershed. Are includes un-incorprated King County from the Renton City Limits.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Facilities and Crafts,NA,"The Facilities and Crafts Crew provides carpentry, electrical, plumbing, painting, utility and specialized playground support to all Parks and Recreation Facilities within King County.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Five Mile District,NA,"Five Mile District is located in the southwest corner of King County with the maintenance shop located at Five-Mile Lake on South Military Road. The Five Mile District has properties within the boundaries of the Cities of Renton, Kent, Des Moines, and Federal Way.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Grand Ridge District,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Greenhouse Program,NA,"The Greenhouse crew provides horticultural services to public parks. The crews also provides up-keep to parking lots and hard surface areas; walkways free of dirt; clear, free flowing drains and catch basins.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Grounds,NA,"The Grounds Crew provides support to the districts in the form of equipment operations. This includes grading, slope-mowing, ditching, drainage improvments, building and maintaining trail systems, baseball infield preparation, building retention and detention systems.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Marymoor Park Business Unit,NA,"The Marymoor Business Unit, located at Marymoor Park near Redmond provides facility scheduling services and park maintenance operations for Marymoor Park.  Interested in soccer, baseball, or cricket? Need to take the dog for a walk? Want to try your hand at flying a radio-control airplane or climbing a 35-foot freestanding structure? Looking to enjoy the outdoors by strolling along a regional trail, picnicking on the lawn, or birdwatching on the shores of Lake Sammamish? Then Marymoor Park is the place for you!  King County’s most popular park, more than 3 million people visit Marymoor annually to explore Marymoor’s 640 acres of recreational activities, rare amenities, and culturally-enriching events.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Marymoor Park Maintenance Unit,NA,"The Marymoor Park Maintenance Unit, located at Marymoor Park near Redmond provides maintenance operations for Marymoor Park.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Newaukum District,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - North Utility Trails Crew,NA,"The North Utility Trails Crew operates within the five park districts located north of Interstate 90 in King County. They are bounded by the King County-Snohomish County line to the north, Puget Sound including the City of Shorline on the west and the King County",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Playground Program,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Small Contracts,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - South Utility Trails Crew,NA,"South Utility Trails Crew services all of south King County, south of I-90 plus Mercer Island.  Included are the cities of Kent, Auburn, Federal Way, Des Moines, SeaTac, Burien, Tukwila, Algona, Pacific, Renton, Issaquah, Black Diamond, Covington, Maple Valley.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Sunset District,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Teen Program,NA,"The Teen Program's mission is to build a foundation for success for young people in our programs by providing programs, experiences and activities that strengthen external and internal development assets in our program participants.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Tolt River District,NA,"Snoqualmie Valley provides park maintenance and operations for County parks and open space lands within the rural communities of Carnation, Duvall, Fall City, North Bend, Preston and Snoqualmie.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/Parks/POS - Vegetation Management,NA,NA,DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Volunteer Program,NA,"Our volunteers' time, energy and commitment are key ingredients in protecting and preserving King County''s valuable natural heritage and recreational assets.  King County Parks works with citizens to maintain, improve, preserve and protect the spectacular parks and natural areas.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/POS - Weyerhaeuser King County Aquatic Center,NA,"The Weyerhaeuser King County Aquatic Center is a legacy venue of the 1990 Seattle Goodwill Games. This 2,500-seat facility maintains one of the most active competition schedules in the country, hosting more than 50 events annually. It has been the site of Olympic Trials, top national and international competitions, and the Pacific Northwest''s premiere events. A recent economic study conducted for King County measured the financial impact of these events on the region in excess of $7.5 million annually.In addition to the swimming and diving events, the WKCAC is open to the public for lap swims, family swims, swimming lessons and more. The recreational pool is available to rent for private events. Contact the pool office for more details on pricing and reservations.",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS/PRS - Marymoor District,NA,"The Marymoor District includes the area north of Lake Sammamish and South of the 520 freeway, bounded to the east by East Lake Sammamish Parkway and to the west by West Lake Sammamish Parkway. Includes two linear corridors, one north of the 520 freeway al",DNRP/PARKS - Parks Operations Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/ES - Accounts Payable,NA,"SWD accounts payable unit pays bills, coordinates ARMs reports and ARMs coding, accounting and financial analysis for Solid Waste Division.",DNRP/SWD - Enterprise Services (ES),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/ES - Accounts Receivable,NA,"SWD accounts receivable unit bills charge customers, tracks cash handling and cash transactions, and records revenue and tonnage.",DNRP/SWD - Enterprise Services (ES),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/ES - Contract Management,NA,"Oversees the construction contract prevailing wage and close-out requirements, develops and generates contract reports, maintains the contract database and web pages.  Reviews and advises on contracts and related documents for form and content, produces contract reports, and oversees contracts for compliance with policies and procedures.  Identifies content for the division''''s procurement web pages, contract database and reports.",DNRP/SWD - Enterprise Services (ES),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/ES - Customer Service,NA,Solid Waste Division Customer Service Unit,DNRP/SWD - Enterprise Services (ES),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/ES - Project Management,NA,NA,DNRP/SWD - Enterprise Services (ES),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/FESU - CAD/BIM (Building Information Modeling),NA,NA,DNRP/SWD - Facility Engineering & Science Unit (FESU),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/FESU - Community Work Force Agreements,NA,NA,DNRP/SWD - Facility Engineering & Science Unit (FESU),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/FESU - Environmental/Permit Compliance,NA,Ensures compliance with regulations and permits that impact the environment while promoting environmental responsibility.,DNRP/SWD - Facility Engineering & Science Unit (FESU),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/HR - Payroll,NA,Provides timely and accurate payroll processing for the Solid Waste Division and ensures compliance with established guidelines and union contracts.,DNRP/SWD - Human Resources (HR),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/HR - Safety,NA,"Safety and Health Compliance with OSHA and WISHA regulations, which includes Safety Training, Safe Work Practice Methods, Equipment and Facilities Safety.",DNRP/SWD - Human Resources (HR),4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Cedar Hills Administration,NA,NA,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Customer Transactions,NA,Provides courteous and efficient service at the transfer and landfill facilities. Provides customers with the information to safely use the facilities and properly dispose of their waste. Ensure accountability and internal controls for the proper handling,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Equipment Purchasing,NA,Purchase and surplus equipment for the Solid Waste Division at the Cedar Hills Landfill.  Write specifications for the purchase of new equipment and coordinate training.,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Facility Maintenance,NA,NA,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Fleet Maintenance,NA,"Provides maintenance for Solid Waste Division equipment. Coordinates and plans the work for mechanics, metal fabricators, maintenace workers and litter control.",DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Landfill Operations,NA,Supervise the disposal of refuse and environmental control systems at Cedar Hills regional and custodial landfills.,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Transfer Operations,NA,Operate nine regional Transfer Stations throughout King County.,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/OS - Transportation,NA,The Transportation group is responsible for transporting solid waste to the Cedar Hills Regional Landfill for final disposal.,DNRP/SWD - Operations (OS) - Cedar Hills,4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/SC&P - Communications/Public Involvement/Records Management,NA,Provides comprehensive communications services for the Solid Waste Division.,"DNRP/SWD - Strategy, Communications & Peformance (SC&P)",4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/SC&P - Policy & Planning/Budget/Forcasting/Rate Studies,NA,"Prepare and monitor Solid Waste Division budgets, including the Operating and Capital Program budgets.  Perform regular financial audits of SWD activities in Operations, Payroll and Accounting.  Serve as the contact for external auditors such as the State","DNRP/SWD - Strategy, Communications & Peformance (SC&P)",4,Department of Natural Resources and Parks (DNRP)
DNRP/SWD/SP&C - Performance & Continuous Improvement,NA,NA,"DNRP/SWD - Strategy, Communications & Peformance (SC&P)",4,Department of Natural Resources and Parks (DNRP)
DNRP/Wastewater Treatment Division (WTD)/Finance & Admin (FA) - Capacity Charge Program,DNRP WTD FA,Sewer Capacity; Sewage Treatment Capacity Charge,DNRP/Wastewater Treatment Division (WTD) - Finance & Administration (FA),4,Department of Natural Resources and Parks (DNRP)
DNRP/Wastewater Treatment Division (WTD)/Finance & Administration (FA) - Financial Services,DNRP WTD FA,"The section is responsible for the following areas for the Utility as a whole; Financial Accounting, Operating and Capital Budget Development and Monitoring, Economic and Financial Analysis, Sewer Rate Setting and Special Projects.",DNRP/Wastewater Treatment Division (WTD) - Finance & Administration (FA),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/FA - Information Systems Services,NA,"Providing computer, network, and user support for the Wastewater Treatment Division",DNRP/Wastewater Treatment Division (WTD) - Finance & Administration (FA),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/Brightwater Operations - Conveyance,NA,"Conveyance Improvement, CSI",DNRP/WTD - Brightwater Operations,4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/ECSS - Community Services Unit,NA,The Community Services Unit (CSU) educates people in decision making and supports neighbors during construction projects and emergencies.,DNRP/WTD - Environmental and Community Services Section (ECSS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/ECSS - Education and Outreach Unit,NA,NA,DNRP/WTD - Environmental and Community Services Section (ECSS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/ECSS - Environmental Services Unit,NA,The Environmental Services Unit (ESU) ensures compliance with environmental regulations.,DNRP/WTD - Environmental and Community Services Section (ECSS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/ECSS - Industrial Waste Program (IW),DNRP WTD ECSS IW,"The Industrial Waste Program protects public health, the regional sewage system and biosolids quality, helping enhance the environment. It monitors the sewage system, regulates industrial wastewater discharges and provides technical assistance to local industries.",DNRP/WTD - Environmental and Community Services Section (ECSS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/ECSS - Land Acquisition Services Unit,NA,"The unit acquires all property rights and regulatory approvals needed to support the operation, maintenance, and construction of major capital projects related to the mission of the Wastewater Treatment Division.",DNRP/WTD - Environmental and Community Services Section (ECSS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - A Shift Operations,NA,A crew is one of four rotating shifts that provide 24/7 operations at South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - B Shift Operations,NA,B crew is one of four rotating shifts that provide 24/7 operations at South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - C Shift Operations,NA,C crew is one of four rotating shifts that provide 24/7 operations at South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - D Shift Operations,NA,D crew is one of four rotating shifts that provide 24/7 operations at South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - Day Operations,NA,Responsible for the Day to Day Operations of South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - Electrical/Instrumentation,NA,Performs instrumentation and electrical maintenance and repair for the South Treatment Plant.,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - Mechanical In-Plant/Offsite,NA,Provides mechanical maintenance and repairs for the East Section South Treatment Plant,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - Off-Site Facilities,NA,The Offsite group provides all operations for Carnation and Vashon Treatment Plants along with the collection and conveyance systems associated with South Treatment Plant.,DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/STP - Process Control,NA,"Validate and document regulatory compliance, provide lab services, and promote treatment optimization for the East Section.",DNRP/WTD - South Treatment Plant (STP),4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Planning Inspection Modeling Monitoring and Mapping (PIM3),DNRP WTD PIM,"The Planning Inspection Modeling Monitoring and Mapping Unit plans for the future; linking the needs and demands of growth within the region to the needs and demands of the existing wastewater system and supports WTD’s mission to protect public health, enhance the environment and create resources from wastewater.",DNRP/WTD/Project Planning & Delivery Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Project Control and Contract Management,NA,Administers capital project contracts and processes project payments in accordance with contractual obligations.,DNRP/WTD/Project Planning & Delivery Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Project Management Unit,NA,"Major Capital Improvement, Infrastructure, Facility Siting & Mitigation, Web Reporting, Program Management, Contracting System, Construction Project Coordination, Project Management, Oversite Process, Project Controls, Vashon, Future Facilities",DNRP/WTD/Project Planning & Delivery Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/PPD/ETR - Mechanical Engineering & Technical Staff,NA,NA,DNRP/WTD/Project Planning & Delivery Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Administration and Quality Assurance,NA,"Provides quality assurance/quality control, budget management, facility management, and administrative support to units of the Environmental Lab.",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Aquatic Toxicology,NA,"The Aquatic Toxicology lab conducts toxicity tests by exposing freshwater or marine aquatic organisms (algae, tiny shrimp, and rainbow trout fry) to environmental samples such as treatment plant discharges or sediment, and then monitoring the organis",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Conventionals,NA,"Conventionals analyzes over 30 inorganic parameters that are indicators of water quality.  Tests for turbidity, dissolved oxygen and pH, and measurements of ultra low level nutrients such as nitrogen and phosphorus, alert scientists to changes in the",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Field Science Unit,NA,Field scientists in the Field Science Unit use a variety of equipment and techniques to obtain samples truly representative of the environment.  The scientists conduct a variety of sampling and field data collection including:  water column sampling,DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Laboratory Project Management,NA,"The Laboratory Project Managers (LPMs) are the focal point for coordination between the Lab and its customers.  LPMs work with customers to understand project goals, and assist in determining specific sampling, chemistry, toxicology and microbiology",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Microbiology,NA,"Microbiology analyzes environmental samples from waters, wastewaters, sediment, and tissue for indicator and pathogenic bacteria, viruses, algae, and fungi.  Virological analyses for enteric viruses and parasite analyses are regularly performed on wastewa",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Trace Metals,NA,"The Trace Metals Laboratory analyzes environmental samples in support of King County programs such as NPDES permit monitoring, industrial pretreatment, biosolids management, risk assessments, wastewater reuse, sediment remediation and surface water monito",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/LAB - Trace Organics,NA,"The Trace Organics Laboratory measures trace levels of organic (carbon-containing) compounds found in air, liquids or solids. The section routinely analyzes for federally-designated priority pollutants and hazardous substances such as pesticides, PCBs, vo",DNRP/WLRD - Environmental Lab (LAB),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/FA - Office Support Services,NA,"Provide general clerical and Admin support for WLR/WTD King Street Center staff; provide reception support, photocopying, mail distribution/pickup&delivery, bulk mail preparation, errand runs (as available), mail database,office supplies",DNRP/WLRD - Finance and Administration (FA),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/FA - SWM Billing,NA,NA,DNRP/WLRD - Finance and Administration (FA),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RS/FLOOD - Green River Flood Control Zone District,NA,NA,DNRP/WLRD - River and Floodplain Management Section (RFMS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - Groundwater Protection Program,NA,King County''s Groundwater Protection Program strives to assure the public health and safety of King County citizens by protecting the quality and quantity of the County''s precious groundwater resources. This is achieved through a comprehensive suite of activities.,DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - Hazardous Waste (HAZ),DNRP WLRD RRS HAZ,"The Local Hazardous Waste Management Program in King County is a multi-agency program whose mission is to protect public health and environmental quality in King County.  The program serves residents and small businesses in King County. Our services include hazardous waste collection for households and qualifying businesses and on-site technical assistance for businesses that generate small quantities of hazardous waste. We also have three telephone hotlines. For more information, please visit http://www.hazwastehelp.org",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - ILA (Interlocal Agreement) Services,NA,NA,DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - Noxious Weed Control Program,NA,"Weed control, education identification and technical assistance.",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - Open Space Acquisitions,NA,"This Unit performs property acquisition and other real property services for construction of capital projects, other county facilities (including active recreation and regional trails), and conservation lands for WLRD and other divisions in DNRP.",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS - Watershed Stewardship,NA,"The Watershed Stewardship Unit includes basin and watershed stewards for key stream basins throughout King County, the Lakes Stewardship Program, and associated policy and technical staff. The basin and watershed stewards work with the community and with",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RRS- Ecological Restoration and Engineering Services Unit (ERES),DNRP WLRD RRS ERES,"ESU, in coordination with the Surface Water Engineering Services Unit, designs, permits, implements, and monitors surface water drainage, flooding, and habitat restoration projects.  The Unit provides program guidance on environmental and regulatory issue",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/RS - Policy Direction and Performance,NA,"Develops and implements performance-based projects, programs and policies that enhance the WLR's Division effectiveness in achieving its mission and goals; such as performance measures; project management and matrix management, support to the WLR business",DNRP/WLRD - Rural and Regional Services Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/STS - Water Quality and Quantity Groups (Unit),NA,The Water Quantity and Quality Groups within the Science and Data Management Section provides scientific services on a variety of Wastewater Treatment Division projects and to other organizations. The Water Quantity and Quality Groups monitor and model water quality.,DNRP/WLRD - Science and Technical Support Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/STS - Watershed and Ecological Assessment Team (Unit),NA,"The Watershed and Ecological Assessment Team (WEAT) provides short and long-term evaluation of watershed health and watershed management efforts by collecting, synthesizing. and evaluating physical, chemical and biological data coupled with landscape/land",DNRP/WLRD - Science and Technical Support Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/STS/Toxicology and Contaminant Assessment,NA,"The Risk Assessment Group provides expertise interpreting environmental monitoring data.  Information from a variety of disciplines, including toxicology, chemistry, statistics, biology, and computer modeling, is used to assess risks to aquatic life, wild",DNRP/WLRD - Science and Technical Support Section,4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Asset Management Unit,NA,"Investigation of drainage and water quality complaints. Maintenance inspection of County flow control, water quality, and off-road drainage facilities. Maintenance assessments and technical assistance for private drainage and stormwater control facilities.",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Capital Services Unit,NA,"The Capital Services Unit provides a broad range of engineering design, construction management, and related services in support of WLRD core businesses (Flood Hazard Reduction, Land and Water Stewardship, Stormwater Services, and Rural Resource programs).",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Engineering Response and Customer Service Unit,NA,"The Engineering Response and Customer Service Unit performs hydrologic, hydraulic, and water quality evaluations of surface water drainage problems ranging in scope from single residential parcels to entire drainage basins; provides technical support for the King County Surface Water Design Manual, the King County Stormwater Pollution Prevention Manual, and the King County Runoff Time Series; investigates and helps resolve drainage code violations; and supports the King County Prosecuting Attorney Office by investigating drainage related claims and lawsuits.",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Regulations and Compliance,NA,"This group is involved in the development, review, and implementation of stormwater regulations.",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Service Delivery Analysis and Support,NA,"Provide budget and program management support to the Stormwater Services Section, including budget and analysis of drainage facility inspection and maintenance programs.",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/SWS - Water Quality Compliance Unit,NA,"This group is involved in the development, review, and implementation of water quality compliance standards.",DNRP/WLRD - Stormwater Services (SWS),4,Department of Natural Resources and Parks (DNRP)
DPH/CHSD/PCH - Family Planning Administration,NA,NA,DPH/CHSD - Parent/Child Health Program (PCH),4,Department of Public Health (DPH)
DPH/FASD - Payroll,NA,Responsible for payroll services for Public Health employees.,DPH/FASD - Accounting Services,4,Department of Public Health (DPH)
DPH/FASD/GCS - Distribution Center,NA,Provides office supplies to Public Health employees and handles ordering of products sold by Public Health for the general public.,"DPH/FASD - Contract, Procurement and Real Estate Services",4,Department of Public Health (DPH)
DPH/PD - Vital Statistics,NA,Issues certified copies of birth and death certificates.,DPH/PD - Medical Examiner,4,Department of Public Health (DPH)
DOT/Fleet - Vehicle Fuel Services Coordinator,NA,NA,DOT/Fleet - Equipment & Construction Materials Supply,4,Department of Transportation (DOT)
DOT/Transit/CCS - Customer Service,NA,"Manages the Rider Information and Customer Service offices and staff that support King County Metro Transit service.  These offices provide to the public the following: trip planning, schedule information; a resource for response to customer contacts; pas",DOT/Transit - Customer Communications and Services,4,Department of Transportation (DOT)
DOT/Transit/CCS - Marketing and Service Information,NA,"Provides marketing communications for the Transit Division, including strategic planning, development and implementation of plans to support transit and rideshare services, including creative services, production and distribution of transit customer infor",DOT/Transit - Customer Communications and Services,4,Department of Transportation (DOT)
Revenue Processing Center,NA,The Revenue Processing Center (RPC) collects and processes farebox case revenue and distributes transit fare media to transit bases and area retail and employer accounts.,DOT/Transit - Customer Communications and Services,4,Department of Transportation (DOT)
DOT/Transit/RO - South Lake Union Streetcar,NA,NA,DOT/Transit - Light Rail Section,4,Department of Transportation (DOT)
DOT/Transit/PRO - Accessible Services (AS) - Administration,DOT PRO AS,"The Accessible Services group works to equip and motivate the community to provide additional mobility solutions, and empower the public with information to make informed choices. We manage the Access Transportation program, and develop innovative transportation products, technologies and services that are accessible and usable by all people.",DOT/Transit - Paratransit/Rideshare Operations (PRO),4,Department of Transportation (DOT)
