DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Skamania County Cemetery District No. 1,1,Cemetery,active,Skamania,Skamania,"Stevenson and 
North Bonneville",NA,NA
Skamania County Fire Protection District No. 4,4,Fire Protection,active,Skamania,Skamania,NA,NA,NA
Skamania County Fire Protection District No. 5,5,Fire Protection,active,Skamania,Skamania,NA,Skamania,NA
Skamania County Fire Protection District No. 6,6,Fire Protection,active,Skamania,Skamania,NA,NA,NA
Skamania County Public Hospital,NA,Hospital,active,Skamania,Skamania,Stevenson and North Bonneville,NA,NA
Skamania Mosquito Control District,NA,Mosquito Control,active,Skamania,Skamania,North Bonneville,NA,NA
Skamania School District No. 2,2,School,active,Skamania,Skamania,NA,NA,NA
Skamokawa Park and Recreation District,NA,Parks,active,Wahkiakum,Wahkiakum,NA,NA,NA
Skamokawa Water and Sewer District,NA,Water/Sewer,active,Wahkiakum,Wahkiakum,NA,NA,NA
Skokomish Flood  Control Zone District,NA,Flood Control,active,Mason,Mason,NA,NA,NA
Skykomish School District No. 404,404,School,active,King,King,Skykomish,NA,NA
Skyway Water and Sewer District ,NA,Water/Sewer,active,King,King,Renton,King County Water District No.  994,"Merged with  Bryn Mawr-Lakeridge Water and Sewer District on May 31, 1999"
Smith Canyon Irrigation District,NA,Irrigation,active,Franklin,Franklin,NA,NA,NA
Sno-Isle Regional Library,NA,Library,active,Snohomish,"Snohomish, Skagit","Arlington, Coupeville,  Darrington, Edmonds, Gold Bar, Granite Falls, Lake Stevens, Langley Lynnwood, Marysville, Mill Creek, Monroe,  Mountlake Terrace,  Mukilteo, Oak Harbor, Snohomish, Sultan",NA,NA
Snohomish  County Transportation Benefit District (2011),NA,Transportation,active,Snohomish,Snohomish,NA,NA,NA
Snohomish Conservation District,NA,Conservation,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Conservation District,NA,Conservation,active,Island,"Island, Snohomish",NA,NA,District boundaries include Camano Island (added in 1961))
Snohomish County Dike and Drainage Improvement District No. 7,7,Drainage,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Dike Improvement District No. 1,1,Dikes,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Diking District No. 2,2,Dikes,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Diking District No. 3,3,Dikes,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Diking District No. 4,4,Dikes,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Diking District No. 5,5,Dikes,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Drainage District No. 12,12,Drainage,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Drainage Improvement District No. 13,13,Drainage,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 1,1,Fire Protection,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 10,10,Fire Protection,active,Snohomish,Snohomish,NA,Bothell,NA
Snohomish County Fire Protection District No. 11 ,11,Fire Protection,merged,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 12,12,Fire Protection,active,Snohomish,Snohomish,NA,Marysville Fire District (1992),"Contractual agreement between the City of Marysville and Snohomish County Fire District 12. In 1998 Snohomish County Fire District 20 consolidated into Fire District 12. In 2002, Fire District 20 merged into Fire District 12"
Snohomish County Fire Protection District No. 14,14,Fire Protection,active,Snohomish,Snohomish,NA,Became part of Part of North County Regional Fire Authority,NA
Snohomish County Fire Protection District No. 15,15,Fire Protection,active,Snohomish,Snohomish,NA,Tulalip Bay Fire Department,NA
Snohomish County Fire Protection District No. 16,16,Fire Protection,active,Snohomish,Snohomish,NA,Lake Roesiger,NA
Snohomish County Fire Protection District No. 17- Granite Falls Fire Department (1958),17,Fire Protection,active,Snohomish,Snohomish,Granite Falls,NA,NA
Snohomish County Fire Protection District No. 18,18,Fire Protection,active,Snohomish,Snohomish,NA,Bryant,NA
"Snohomish County Fire Protection District No. 19 Silvana (1959)
",19,Fire Protection,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 20,20,Fire Protection,merged,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 21,21,Fire Protection,active,Snohomish,Snohomish,NA,Arlington Rural,NA
Snohomish County Fire Protection District No. 22,22,Fire Protection,active,Snohomish,Snohomish,NA,Getchell,NA
Snohomish County Fire Protection District No. 23,23,Fire Protection,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 24,24,Fire Protection,active,Snohomish,Snohomish,Darrington,Snohomish/Skagit Fire,NA
Snohomish County Fire Protection District No. 25,25,Fire Protection,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Fire Protection District No. 26,26,Fire Protection,active,Snohomish,Snohomish,Gold Bar,Gold Bar (1968),NA
Snohomish County Fire Protection District No. 27,27,Fire Protection,active,Snohomish,Snohomish,NA,Gedney/Hat Island,NA
Snohomish County Fire Protection District No. 28,28,Fire Protection,active,Snohomish,Snohomish,Index,Index Fire and Rescue (1978),NA
Snohomish County Fire Protection District No. 3,3,Fire Protection,active,Snohomish,Snohomish,Monroe,Monroe Fire,NA
Snohomish County Fire Protection District No. 4,4,Fire Protection,active,Snohomish,Snohomish,Snohomish,Snohomish Fire/Rescue,NA
Snohomish County Fire Protection District No. 5,5,Fire Protection,active,Snohomish,Snohomish,Sultan,Sultan/Startup,NA
Snohomish County Fire Protection District No. 7 (1946),7,Fire Protection,active,Snohomish,Snohomish,NA,NA,Serves Mill Creek
Snohomish County Fire Protection District No. 8,8,Fire Protection,active,Snohomish,Snohomish,NA,Lake Stevens Fire,NA
Snohomish County Public Facilities District,NA,Public Facilities,active,Snohomish,Snohomish,NA,NA,NA
Snohomish County Public Hospital District No. 1,1,Hospital,active,Snohomish,Snohomish,"Gold Bar, Index, Monroe, Snohomish, Sultan",NA,NA
Snohomish County Public Hospital District No. 2 ,2,Hospital,active,Snohomish,Snohomish,"Brier, Edmonds, Lynnwood, Mountlake Terrace, Woodway",dba  Verdant Health  Commission,NA
Snohomish County Public Hospital District No. 3,3,Hospital,active,Snohomish,Snohomish,"Darrington, Part Arlington",NA,NA
Snohomish County Public Transportation Benefit Area,NA,Transportation,active,Snohomish,Snohomish,"Arlington, Bothell, Brier, Darrington, Edmonds, Everett, Gold Ba,r Granite Falls, Index, Lake Stevens, Lynnwood, Marysville, Mill Creek, Monroe, Mountlake Terrace, Mukilteo, Snohomish, Stanwood, Sultan, Woodway",NA,NA
Snohomish County Public Utility District No. 1,1,Public Utility,active,Snohomish,"Snohomish, Island","Arlington, Bothell, Brier, Darrington, Edmonds, Everett, Gold Bar, Granite Falls, Index, Lake Stevens, Lynnwood, Marysville, Mill Creek, Monroe, Mountlake Terrace, Mukilteo, Snohomish, Stanwood, Sultan, Woodway",NA,NA
Snohomish County Startup Water District,NA,Water,active,Snohomish,Snohomish,NA,NA,NA
Snohomish Health District,NA,Health,active,Snohomish,Snohomish,NA,NA,NA
Snohomish Library Capital Facility Area,NA,Library,active,Snohomish,Snohomish,"Snohomish, part Everett and Granite Falls",NA,Bonds approved 08/2000
Snohomish School District No. 201,201,School,active,Snohomish,Snohomish,"Part Everett, part Monroe, Snohomish",NA,NA
Snohomish Transportation Benefit District (2011),NA,Transportation,active,Snohomish,Snohomish,Snohomish,NA,NA
Snoqualmie Pass Utility District,NA,Public Utility,active,King,"King, Kittitas",NA,NA,Consolidation of King County Summit Sewer District and Kittitas County Sewer District No. 1 into Snoqualmie Pass Sewer District of King and Kittitas Counties; name changed to Snoqualmie Pass Utility District in 1994. Serves Snoqualmie Pass area in both King and Kittitas counties (water and sewer).
Snoqualmie Transportation Benefit District (2110),NA,Transportation,active,King,King,Snoqualmie,NA,NA
Snoqualmie Valley School District No. 410,410,School,active,King,King,"Newcastle, North Bend, Snoqualmie",NA,NA
Soap Lake School District No. 156,156,School,active,Grant,Grant,Soap Lake,NA,NA
Soos Creek Water and Sewer District,NA,Water/Sewer,active,King,King,NA,King County Water and Sewer District No.58  (1938),"Merged with Cascade Sewer District in 1987. Service area includes Auburn, Black Diamond, Covington, Kent, Maple Valley, Renton"
Sound Transit,NA,Transportation,active,King,"King, Pierce, Snohomish",NA,Central Puget Sound Regional Transit Authority,NA
South Bainbridge Island Water District #18,NA,Water,dissolved,Kitsap,Kitsap,NA,NA,"Dissolved by Kitsap County Ordinance No. 207, 1997"
South Banks Lake Mosquito District No. 3,3,Mosquito Control,active,Grant,Grant,Coulee City,NA,NA
South Beach Communication District  (1993),NA,NA,disposition unknown,Pacific,Pacific,NA,NA,"PCC Ch. 8.32 - 911 communication system for Grayland, North Cove and Tokeland vicinity (RCW 82.14B.070-.100  Repealed effective 01/01/2011"
South Beach Parks and Recreation District,NA,Parks,disposition unknown,Grays Harbor,Grays Harbor,NA,NA,NA
South Bend School District No. 118,118,School,active,Pacific,Pacific,"Part Raymond, South Bend",NA,NA
South Columbia Basin Irrigation District,NA,Irrigation,active,Franklin,Franklin,NA,NA,NA
South Douglas Conservation District,NA,Conservation,active,Douglas,Douglas,NA,NA,NA
South East Thurston Regional Fire Service Authority,NA,Fire Protection,active,Thurston,Thurston,"Yelm, Rainier included at formation",NA,"Yelm, Thurston County FPD No. 2, FPD No. 4 (Rainier annexed)) election 02/10"
South Kitsap Park and Recreation District,NA,Parks,dissolved,Kitsap,Kitsap,NA,NA,South Kitsap Community Park given to county 06/2007
South Kitsap School District No. 402,402,School,active,Kitsap,Kitsap,"Part Bremerton, Port Orchard",NA,NA
South Naches Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
South Pend Oreille Fire and Rescue,3,Fire Protection,active,Pend Oreille,Pend Oreille,NA,Formerly Pend Oreille Fire District No. 3,"Formerly Pend Oreille Fire District No. 3 - Merger of Fire District 3 and Fire District No. 1, 11/2008. Merger of Fire District No. 7, 02/2009"
"South Whatcom Fire Authority (FD 2, 6, 9, 10; election 11/08, began 1/1/09)",NA,Fire Protection,active,Whatcom,Whatcom,NA,NA,"FD 2, 6, 9, 10; election 11/08, began 1/1/09"
South Whidbey Fire/EMS (Formerly Island County Fire Protection District No. 3),3,Fire Protection,active,Island,Island,Langley,NA,South Whidbey Fire/EMS - (Name changed from Island County Fire District No. 3 02/27/2012) - Formed 1950
South Whidbey Parks and Recreation District,NA,Parks,active,Island,Island,Langley,NA,NA
South Whidbey School District No. 206,206,School,active,Island,Island,Langley,NA,NA
South Yakima Conservation District,NA,Conservation,active,Yakima,Yakima,NA,NA,NA
Southside School District No. 42,42,School,active,Mason,Mason,Part Shelton,NA,NA
Southwest Clean Air Agency,NA,Clear Air,active,Clark,Clark,NA,NA,NA
Southwest Suburban Sewer District (1945),NA,Sewer,active,King,King,NA,NA,"Formerly called White Center Sewer District. Normandy Park executed a sales agreement to transfer the city's sewer utility to the District, October 2002. Service area includes Burien, Des Moines Normandy Park, SeaTac, Seattle"
Spokane County Air Pollution Control Authority,NA,Clear Air,active,Spokane,Spokane,NA,NA,NA
Spokane County Cemetery District No. 1,1,Cemetery,active,Spokane,Spokane,NA,NA,NA
Spokane County Cemetery District No. 2,2,Cemetery,active,Spokane,Spokane,NA,NA,NA
Spokane County Cemetery District No. 3,3,Cemetery,active,Spokane,Spokane,NA,NA,NA
Spokane County Cemetery District No. 4,4,Cemetery,active,Spokane,Spokane,NA,NA,NA
Spokane County Cemetery District No. 5,5,Cemetery,active,Spokane,Spokane,Part Deer Park,NA,NA
Spokane County Cemetery District No. 6,6,Cemetery,active,Spokane,Spokane,NA,NA,NA
Spokane County Conservation District,NA,Conservation,active,Spokane,Spokane,NA,NA,NA
Spokane County Fire Protection District No. 10,10,Fire Protection,active,Spokane,Spokane,NA,NA,NA
Spokane County Fire Protection District No. 11,11,Fire Protection,active,Spokane,Spokane,NA,NA,Provide services to Rockford
Spokane County Fire Protection District No. 12,12,Fire Protection,active,Spokane,Spokane,Latah  and Waverly,Latah/Waverly,NA
Spokane County Fire Protection District No. 13,13,Fire Protection,active,Spokane,Spokane,NA,Newman Lake Fire and Rescue,NA
Spokane County Fire Protection District No. 2,2,Fire Protection,active,Spokane,Spokane,NA,Fairfield,Provides service to Fairfield
Spokane County Fire Protection District No. 3,3,Fire Protection,active,Spokane,Spokane,NA,Spokane,NA
Spokane County Fire Protection District No. 4,4,Fire Protection,active,Spokane,Spokane,Deer Park,NA,NA
Spokane County Fire Protection District No. 5,5,Fire Protection,active,Spokane,Spokane,NA,Four Mound,NA
Spokane County Fire Protection District No. 8,8,Fire Protection,active,Spokane,Spokane,Spokane Valley,Valleyford/Moran Prairie Ponderosa/Saltese,NA
Spokane County Fire Protection District No. 9,9,Fire Protection,active,Spokane,Spokane,NA,NA,NA
Spokane County Library District,NA,Library,active,Spokane,Spokane,"Cheney, Deer Park, Fairfield, Latah, Medical Lake, Millwood, Spangle, Spokane Valley, Waverly",NA,NA
Spokane County Water District No. 12,12,Water,active,Spokane,Spokane,NA,Valley of the Horses Water District No. 12,NA
Spokane County Water District No. 14,14,Water,active,Spokane,Spokane,NA,NA,NA
Spokane County Water District No. 3 (1976),3,Water,active,Spokane,Spokane,NA,NA,"Formed in 1986 by voters living in the service area of the Spokane Suburban Water Company, a wholly owned subsidiary of the General Waterworks Corporation."
Spokane Public Facilities District,NA,Public Facilities,active,Spokane,Spokane,Spokane,NA,NA
Spokane Regional Health District,NA,Health,active,Spokane,Spokane,NA,NA,NA
Spokane School District No. 81,81,School,active,Spokane,Spokane,"Part Spokane, Spokane Valley",NA,NA
Spokane Transit (Public Transportation Benefit Area),NA,Transportation,active,Spokane,Spokane,"Airway Heights, Cheney, Medical Lake, Millwood, Latah, Liberty Lake, Spokane, and Spokane Valley",NA,NA
Spokane Transportation Benefit District (2011),NA,Transportation,active,Spokane,Spokane,Spokane,NA,NA
Spokane Valley Fire Department,1,Fire Protection,active,Spokane,Spokane,Spokane Valley and Liberty Lake,Spokane County Fire Protection District No. 1,NA
Sprague School District No. 8-163,8,School,active,Lincoln,Lincoln,Sprague,NA,NA
Stanwood-Camano School District No. 401,401,School,active,Snohomish,Snohomish,Stanwood,NA,NA
Stanwood Transportation Benefit District (2012),NA,Transportation,active,Snohomish,Snohomish,Stanwood,NA,NA
Star School District No. 54,54,School,active,Franklin,Franklin,NA,NA,NA
Starbuck School District No. 35,35,School,active,Columbia,Columbia,Starbuck,NA,NA
Startup Water District ,NA,Water,active,Snohomish,Snohomish,NA,NA,Provides water & sewer
Stehekin School District No. 69,69,School,active,Chelan,Chelan,NA,NA,NA
Steilacoom Historical School District No. 1,1,School,active,Pierce,Pierce,"Du Pont, part Lakewood, Steilacoom, part University Place",NA,NA
Stemilt Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Steptoe School District No. 304,304,School,active,Whitman,Whitman,NA,NA,NA
Steptoe Water and Sewer District No. 1,1,Water/Sewer,active,Whitman,Whitman,NA,NA,NA
Stevens County Conservation District,NA,Conservation,active,Stevens,Stevens,NA,NA,NA
Stevens County Fire District 8 ,3,Fire Protection,active,Stevens,"Stevens, Ferry",NA,Joint Fire District with Ferry County FD No. 3,NA
Stevens County Fire Protection District No. 1,1,Fire Protection,active,Stevens,Stevens,Springdale,NA,NA
Stevens County Fire Protection District No. 10,10,Fire Protection,active,Stevens,Stevens,NA,Deep Lake,NA
Stevens County Fire Protection District No. 11,11,Fire Protection,active,Stevens,Stevens,NA,NA,NA
Stevens County Fire Protection District No. 12,12,Fire Protection,active,Stevens,Stevens,NA,Rice/Daisy/Gifford,NA
Stevens County Fire Protection District No. 2,2,Fire Protection,active,Stevens,Stevens,NA,Hunters,NA
Stevens County Fire Protection District No. 3,3,Fire Protection,active,Stevens,Stevens,NA,Colville,NA
Stevens County Fire Protection District No. 4,4,Fire Protection,active,Stevens,Stevens,NA,Valley/Chewelah,NA
Stevens County Fire Protection District No. 5,5,Fire Protection,active,Stevens,Stevens,NA,NA,NA
Stevens County Fire Protection District No. 6,6,Fire Protection,active,Stevens,Stevens,Marcus voted to annex 11/06/12,Kettle Falls,Service provided with Kettle Falls
Stevens County Fire Protection District No. 7,7,Fire Protection,active,Stevens,Stevens,NA,Arden,NA
Stevens County Fire Protection District No. 9,9,Fire Protection,active,Stevens,Stevens,NA,Little Pend Oreille Lakes,NA
Stevens County Public Utility District No. 1,1,Public Utility,active,Stevens,Stevens,"Chewelah, Colville, Kettle Falls, Marcus, Northport, Springdale",NA,The Stevens County PUD owns and operates 17 water systems in Stevens and northern Spokane counties and operates seven community sewer systems in Stevens County.
Stevens County Rural Library District,NA,Library,active,Stevens,Stevens,"Marcus, Springdale",NA,NA
Stevens Pass Sewer District,NA,Sewer,active,King,"King, Chelan",NA,NA,Formed to provide sewer service to the residents of Stevens Pass.
Stevens Pass Sewer District 24-J,NA,Sewer,active,Chelan,"Chelan, King",NA,NA,Formed to provide sewer service to the residents of Stevens Pass
Stevenson-Carson School District No. 303,303,School,active,Skamania,Skamania,"North Bonneville, Stevenson",NA,NA
Stillaguamish Flood Control District,NA,Flood Control,active,Snohomish,Snohomish,NA,NA,NA
Strathview Water District No. 16,16,Water,active,Spokane,Spokane,NA,NA,NA
Sultan School District No. 311,311,School,active,Snohomish,Snohomish,"Part Everett, Gold Bar,  Sultan",NA,NA
Summit Valley School District No. 202,202,School,active,Stevens,Stevens,NA,NA,NA
Sumner School District No. 320,320,School,active,Pierce,Pierce,"Part Bonney Lake, part Edgewood, Pacific, part  Puyallup, part Sumner",NA,NA
Sun Harbor Water District No. 3,3,Water,active,Walla Walla,Walla Walla,NA,NA,NA
Sunland Water District,NA,Water,active,Clallam,Clallam,NA,NA,Provides water and sewer services in an unincorporated area of Clallam County near the City of Sequim
Sunnyside Division Board of Control,NA,NA,active,Yakima,Yakima,NA,NA,NA
Sunnyside Housing Authority,NA,Housing Authority,active,Yakima,Yakima,NA,NA,NA
Sunnyside School District No. 201,201,School,active,Yakima,Yakima,Sunnyside,NA,NA
Sunnyside Valley Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Sunnyslope Water District No. 15 (1952),15,Water,active,Kitsap,Kitsap,NA,NA,Service area includes Bremerton
Swantown Water District,NA,Water,active,Island,Island,NA,NA,NA
Tacoma School District No. 10,10,School,active,Pierce,Pierce,"Part Fircrest, part Lakewood, Ruston, part Tacoma, part University Place",NA,NA
Tacoma Transportation Benefit District (2012),NA,Transportation,active,Pierce,Pierce,Tacoma,NA,NA
Taholah School District No. 77,77,School,active,Grays Harbor,Grays Harbor,NA,NA,NA
Tahoma School District No. 409,409,School,active,King,King,"Part Black Diamond, part Kent, part Maple Valley, part Covington",NA,NA
Tahuya River Valley Water District,NA,Water,active,Mason,Mason,NA,NA,NA
Tanglewilde Park and Recreation District No. 1,1,Parks,active,Thurston,Thurston,NA,NA,NA
Tekoa School District No. 265,265,School,active,Whitman,Whitman,Tekoa,NA,NA
Tenino School District No. 402,402,School,active,Thurston,Thurston,"Part Bucoda, Tenino",NA,NA
Terrace Heights Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Terrace Heights Sewer District,NA,Sewer,active,Yakima,Yakima,NA,NA,NA
The Washington State Major League Baseball Stadium Public Facilities District,NA,Public Facilities,active,King,King,NA,NA,NA
Thorp School District No. 400,400,School,active,Kittitas,Kittitas,NA,NA,NA
Three Creeks Library Capital Facility Area,NA,Library,active,Clark,Clark,NA,NA,NA
Three Lakes Water District (1978),NA,Water,active,Chelan,Chelan,NA,NA,Established to provide potable water to the Three Lakes subdivision in Chelan County
Thurston Conservation District,NA,Conservation,active,Thurston,Thurston,NA,NA,NA
Thurston County Cemetery District No. 1,1,Cemetery,active,Thurston,Thurston,NA,NA,NA
Thurston County Cemetery District No. 2,2,Cemetery,active,Thurston,Thurston,NA,NA,NA
Thurston County Consolidated Drainage Improvement District No. 101,101,Drainage,dissolved,Thurston,Thurston,NA,NA,"Dissolved by No. Resolution 5201, 08/17/1976 property conveyed to Thurston County"
Thurston County Drainage District No. 11 (1997) -Scott Lake Drainage District,11,Drainage,active,Thurston,Thurston,NA,NA,Established 09/26/1997
Thurston County Drainage District No. 3,3,Drainage,active,Thurston,Thurston,NA,Chambers Lake Drainage District No. 3 (1917),Established 01/1917
Thurston County Fire Protection District No. 1,1,Fire Protection,active,Thurston,Thurston,NA,Grand Mound-Rochester,NA
Thurston County Fire Protection District No. 11,11,Fire Protection,active,Thurston,Thurston,NA,Littlerock Fire Rescue,NA
Thurston County Fire Protection District No. 12,12,Fire Protection,active,Thurston,Thurston,NA,Tenino,Provides service to Tenino
Thurston County Fire Protection District No. 13,13,Fire Protection,active,Thurston,Thurston,NA,Griffin Fire Department (1962),NA
Thurston County Fire Protection District No. 14,14,Fire Protection,active,Thurston,Thurston,NA,Grand Mound,"Merged with Thurston County Fire District No. 1, 2002"
Thurston County Fire Protection District No. 15,15,Fire Protection,active,Thurston,Thurston,NA,Munn Lake,Services provided by city of Tumwater
Thurston County Fire Protection District No. 16,16,Fire Protection,active,Thurston,Thurston,NA,Gibson Valley,NA
Thurston County Fire Protection District No. 17,17,Fire Protection,active,Thurston,Thurston,NA,Bald Hills Fire Department,NA
Thurston County Fire Protection District No. 3,3,Fire Protection,active,Thurston,Thurston,Lacey,Lacey Fire District No. 3 (1949),Lacey annexed 04/2010
Thurston County Fire Protection District No. 4 ,4,Fire Protection,active,Thurston,Thurston,Rainier,Part of South East Thurston Regional Fire Protection Service Authority,NA
Thurston County Fire Protection District No. 5,5,Fire Protection,active,Thurston,Thurston,NA,McLean Black Lake Fire Department,Joint with Thurston 9 - Formed 1961
Thurston County Fire Protection District No. 6,6,Fire Protection,active,Thurston,Thurston,NA,East Olympia (1953),NA
Thurston County Fire Protection District No. 7,7,Fire Protection,active,Thurston,Thurston,NA,North Olympia Fire and Rescue,NA
Thurston County Fire Protection District No. 8,8,Fire Protection,active,Thurston,Thurston,NA,South Bay Fire Department,NA
Thurston County Fire Protection District No. 9,9,Fire Protection,active,Thurston,Thurston,NA,McLane Black Lake Fire Department,Joint with Thurston County Fire District No. 5
Thurston Public Utility District,NA,Public Utility,active,Thurston,Thurston,"Bucoda, Lacey, Olympia, Rainier, Tenino, Tumwater, Yelm",NA,NA
Timberland Regional Library,NA,Library,active,Mason,"Mason, Grays Harbor, Lewis, Pacific, Thurston",Shelton  effective 2010,NA,NA
"Timberland Regional Library (Grays Harbor, Lewis, Mason, Pacific and Thurston counties)",NA,Library,active,Thurston,Thurston,"Aberdeen, Cosmopolis, Elma, Hoquiam (Election 11/11), McCleary, Montesano, Oakville, Westport, Ilwaco, Long Beach, South Bend, Bucoda, Lacey, Olympia, Rainier, Tenino, Tumwater, Yelm, Shelton, Centralia, Chehalis",NA,NA
Toledo School District No. 237,237,School,active,Lewis,Lewis,Toledo,NA,NA
Tonasket Emergency Medical Service District,NA,NA,active,Okanogan,Okanogan,Tonasket  included at formation,NA,NA
Tonasket School District No. 404,404,School,active,Okanogan,Okanogan,Tonasket,NA,NA
Toppenish School District No. 202,202,School,active,Yakima,Yakima,"Toppenish, part  Zillah",NA,NA
Toppenish Transportation Benefit District (2012),NA,Transportation,active,Yakima,Yakima,Toppenish,NA,NA
Touchet-Lowden Mosquito District,NA,Mosquito Control,active,Walla Walla,Walla Walla,NA,NA,NA
Touchet School District No. 300,300,School,active,Walla Walla,Walla Walla,NA,NA,NA
Touchet Valley Irrigation District No. 16,16,Irrigation,active,Columbia,"Columbia, Walla",NA,NA,In parts of Columbia and Walla Walla Counties
Touchet Water District No. 2,2,Water,active,Walla Walla,Walla Walla,NA,NA,NA
Toutle Lake School District No. 130,130,School,active,Cowlitz,Cowlitz,NA,NA,NA
Tracyton Water District No. 17,17,Water,dissolved,Kitsap,Kitsap,NA,NA,"Kitsap County Superior Court Order dissolving district dated March 27, 2006 effective June 13, 2006"
Trails End Water District No. 2,2,Water,active,Mason,Mason,NA,NA,NA
Trentwood Irrigation District No. 3,3,Irrigation,active,Spokane,Spokane,NA,NA,NA
Tri-Cities Estates Water District No. 45,45,Water,active,Benton,Benton,NA,NA,Eastern half of Benton County
Trout Lake School District No. 400,400,School,active,Klickitat,Klickitat,NA,NA,NA
Tukwila Pool Metropolitan Park District (08/16/2011),NA,Parks,active,King,King,Tukwila,NA,NA
Tukwila School District No. 406,406,School,active,King,King,"Part SeaTac, part Tukwila",NA,NA
Tumwater School District No. 33,33,School,active,Thurston,Thurston,"Part Olympia, part Tumwater",NA,NA
Underwood Conservation District,NA,Conservation,active,Klickitat,"Klickitat, Skamania",NA,NA,NA
Union Gap Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Union Gap School District No. 2,2,School,active,Yakima,Yakima,"Part Union Gap, part Yakima",NA,NA
Union Parks and Recreation District ,NA,Parks,dissolved,Mason,Mason,NA,NA,Dissolved in 1999
University Place Park and Recreation District,NA,Parks,dissolved,Pierce,Pierce,NA,NA,"Dissolved January 31, 1997 assumed by University Place"
University Place School District No. 83,83,School,active,Pierce,Pierce,"Part Fircrest, part Tacoma, part University Place",NA,NA
University Place Transportation Benefit District,NA,Transportation,active,Pierce,Pierce,University Place,NA,NA
Upper Skagit Library District (2002),NA,Library,active,Skagit,Skagit,NA,NA,Within a portion of Concrete School District outside the town of Concrete
Upper Valley Parks and Recreation Service Area (1997),NA,Parks,active,Chelan,Chelan,Leavenworth,NA,NA
Urban Medical Service District,NA,NA,active,Snohomish,Snohomish,Bothell (Snohomish County portion),Bothell,NA
Valley Regional Fire Authority (November 2006),NA,Fire Protection,active,King,King,"Auburn, Algona, Pacific included at formation",NA,NA
Valley School District No. 70,70,School,active,Stevens,Stevens,NA,NA,NA
Valley Transit,NA,Transportation,active,Walla Walla,Walla Walla,College Place,Public Transit  Benefit Authority,NA
Valley View Sewer District,NA,Sewer,active,King,King,"Burien, SeaTac, Tukwila",NA,"Formerly Val View Sewer District; name changed by King County Ordinance No 15712, 04/2007. Service area includes Burien, SeaTac, Tukwila"
Valley Water District (1993),NA,Water,active,Pierce,Pierce,NA,NA,"Service area includes Bonney Lake, Puyallup, Steilacoom"
Vancouver Library Capital Facilities Area ,NA,Library,active,Clark,Clark,Part Vancouver,NA,NA
Vancouver Public Facility District,NA,Public Facilities,active,Clark,Clark,Vancouver,NA,NA
Vancouver School District No. 37,37,School,active,Clark,Clark,Vancouver,NA,NA
Vashon Island School District No. 402,402,School,active,King,King,NA,NA,NA
Vashon Maury Park and Recreation District,2,Parks,active,King,King,NA,King County Park and Recreation District No. 2 (1983),NA
Vashon Sewer District,NA,Sewer,active,King,King,NA,NA,NA
Vel View Water District No. 13,13,Water,active,Spokane,Spokane,NA,NA,NA
Vera Irrigation District No. 15,15,Irrigation,active,Spokane,Spokane,NA,NA,NA
Village Green Metropolitan Park District (8/2010),NA,Parks,active,Kitsap,Kitsap,NA,NA,NA
Wahkiakum Conservation District,NA,Conservation,active,Wahkiakum,Wahkiakum,NA,NA,NA
Wahkiakum County Cemetery District No. 1,1,Cemetery,active,Wahkiakum,Wahkiakum,Cathlamet,NA,NA
Wahkiakum County Cemetery District No. 2,2,Cemetery,active,Wahkiakum,Wahkiakum,NA,NA,NA
Wahkiakum County Consolidated Diking District No. 1,1,Dikes,active,Wahkiakum,Wahkiakum,NA,NA,Puget Sound
Wahkiakum County Dike District No. 5,5,Dikes,active,Wahkiakum,Wahkiakum,NA,NA,Skamokawa Creek area
Wahkiakum County Dike Improvement District No. 4,4,Dikes,active,Wahkiakum,Wahkiakum,NA,NA,Elochoman
Wahkiakum County Fire Protection District No. 1,1,Fire Protection,active,Wahkiakum,Wahkiakum,NA,Puget Island,NA
